"STUDY_ID","REVIEWERS","INCLUDE","AUTHORS","YEAR","TITLE","JOURNAL","VOLUME","LPAGES","UPAGES","DOI","ABSTRACT"
"539","laporta","NO","Costa, J and Dornak, LL and Almeida, CE and Peterson, AT","2014","Distributional potential of the Triatoma brasiliensis species complex at present and under scenarios of future climate conditions","PARASITES & VECTORS","7",NA,NA,"10.1186/1756-3305-7-238","Background: The Triatoma brasiliensis complex is a monophyletic group, comprising three species, one of which includes two subspecific taxa, distributed across 12 Brazilian states, in the caatinga and cerrado biomes. Members of the complex are diverse in terms of epidemiological importance, morphology, biology, ecology, and genetics. Triatoma b. brasiliensis is the most disease-relevant member of the complex in terms of epidemiology, extensive distribution, broad feeding preferences, broad ecological distribution, and high rates of infection with Trypanosoma cruzi; consequently, it is considered the principal vector of Chagas disease in northeastern Brazil. Methods: We used ecological niche models to estimate potential distributions of all members of the complex, and evaluated the potential for suitable adjacent areas to be colonized; we also present first evaluations of potential for climate change-mediated distributional shifts. Models were developed using the GARP and Maxent algorithms. Results: Models for three members of the complex (T. b. brasiliensis, N = 332; T. b. macromelasoma, N = 35; and T. juazeirensis, N = 78) had significant distributional predictivity; however, models for T. sherlocki and T. melanica, both with very small sample sizes (N = 7), did not yield predictions that performed better than random. Model projections onto future-climate scenarios indicated little broad-scale potential for change in the potential distribution of the complex through 2050. Conclusions: This study suggests that T. b. brasiliensis is the member of the complex with the greatest distributional potential to colonize new areas: overall; however, the distribution of the complex appears relatively stable. These analyses offer key information to guide proactive monitoring and remediation activities to reduce risk of Chagas disease transmission."
"540","laporta","NO","Ramirez, JD and Montilla, M and Cucunuba, ZM and Florez, AC and Zambrano, P and Guhl, F","2013","Molecular Epidemiology of Human Oral Chagas Disease Outbreaks in Colombia","PLOS NEGLECTED TROPICAL DISEASES","7",NA,NA,"10.1371/journal.pntd.0002041","Background: Trypanosoma cruzi, the causative agent of Chagas disease, displays significant genetic variability revealed by six Discrete Typing Units (TcI-TcVI). In this pathology, oral transmission represents an emerging epidemiological scenario where different outbreaks associated to food/beverages consumption have been reported in Argentina, Bolivia, Brazil, Ecuador and Venezuela. In Colombia, six human oral outbreaks have been reported corroborating the importance of this transmission route. Molecular epidemiology of oral outbreaks is barely known observing the incrimination of TcI, TcII, TcIV and TcV genotypes. Methodology and Principal Findings: High-throughput molecular characterization was conducted performing MLMT (Multilocus Microsatellite Typing) and mtMLST (mitochondrial Multilocus Sequence Typing) strategies on 50 clones from ten isolates. Results allowed observing the occurrence of TcI, TcIV and mixed infection of distinct TcI genotypes. Thus, a majority of specific mitochondrial haplotypes and allelic multilocus genotypes associated to the sylvatic cycle of transmission were detected in the dataset with the foreseen presence of mitochondrial haplotypes and allelic multilocus genotypes associated to the domestic cycle of transmission. Conclusions: These findings suggest the incrimination of sylvatic genotypes in the oral outbreaks occurred in Colombia. We observed patterns of super-infection and/or co-infection with a tailored association with the severe forms of myocarditis in the acute phase of the disease. The transmission dynamics of this infection route based on molecular epidemiology evidence was unraveled and the clinical and biological implications are discussed."
"541","laporta","NO","Rodrigues, CM and Valadares, HMS and Francisco, AF and Arantes, JM and Campos, CF and Teixeira-Carvalho, A and Martins, OA and Araujo, MSS and Arantes, RME and Chiari, E and Franco, GR and Machado, CR and Pena, SDJ and Faria, AMC and Macedo, AM","2010","Coinfection with Different Trypanosoma cruzi Strains Interferes with the Host Immune Response to Infection","PLOS NEGLECTED TROPICAL DISEASES","4",NA,NA,"10.1371/journal.pntd.0000846","A century after the discovery of Trypanosoma cruzi in a child living in Lassance, Minas Gerais, Brazil in 1909, many uncertainties remain with respect to factors determining the pathogenesis of Chagas disease ( CD). Herein, we simultaneously investigate the contribution of both host and parasite factors during acute phase of infection in BALB/c mice infected with the JG and/or CL Brener T. cruzi strains. JG single infected mice presented reduced parasitemia and heart parasitism, no mortality, levels of pro-inflammatory mediators (TNF-alpha, CCL2, IL-6 and IFN-gamma) similar to those found among naive animals and no clinical manifestations of disease. On the other hand, CL Brener single infected mice presented higher parasitemia and heart parasitism, as well as an increased systemic release of pro-inflammatory mediators and higher mortality probably due to a toxic shock-like systemic inflammatory response. Interestingly, coinfection with JG and CL Brener strains resulted in intermediate parasitemia, heart parasitism and mortality. This was accompanied by an increase in the systemic release of IL-10 with a parallel increase in the number of MAC-3(+) and CD4(+) T spleen cells expressing IL-10. Therefore, the endogenous production of IL-10 elicited by coinfection seems to be crucial to counterregulate the potentially lethal effects triggered by systemic release of pro-inflammatory mediators induced by CL Brener single infection. In conclusion, our results suggest that the composition of the infecting parasite population plays a role in the host response to T. cruzi in determining the severity of the disease in experimentally infected BALB/c mice. The combination of JG and CL Brener was able to trigger both protective inflammatory immunity and regulatory immune mechanisms that attenuate damage caused by inflammation and disease severity in BALB/c mice."
"542","laporta","NO","Santana, VL and Souza, AP and Lima, DASD and Araujo, AL and Justiniano, SV and Dantas, RP and Guedes, PMM and Melo, MA","2012","Clinical and laboratorial characterization of naturally infected Trypanosoma cruzi dogs in the northeastern semi-arid","PESQUISA VETERINARIA BRASILEIRA","32","536","541","10.1590/S0100-736X2012000600011","Santana V. L., Souza A. P., Lima D. A. S. D., Araujo A. L., Justiniano S. V., Dantas R. P., Guedes P. M. M. & Melo M. A. 2012. [Clinical and laboratorial characterization of naturally infected Trypanosoma cruzi dogs in the northeastern semi-arid.] Caracterizacao clinica e laboratorial de caes naturalmente infectados com Trypanosoma cruzi no semiarido nordestino. Pesquisa Veterinaria Brasileira 32(6):536-541. Unidade Academica de Medicina Veterinaria, Universidade Federal de Campina Grande, Av. Universitaria s/n, Bairro Santa Cecilia, Patos, PB 58708-110, Brazil. E-mail: almir@cstr.ufcg.edu.br This study aimed to evidence the clinical and laboratorial signs of this disease to help characterize this illness in a natural way in the semiarid in the northeastern region. We evaluated 10 positive for Trypanosoma cruzi dogs, that were identified by serological analysis of immuno fluorescence assay (RIFI) and enzyme linked immunosorbent assay (ELISA); molecular analysis by polymerase chain reaction (PCR), direct microscopy and blood culture. The chagasic dogs underwent physical examination, electrocardiographic, radiographic, blood pressure, hematology (erythrocyte and leukocyte count) and biochemical exams (urea, creatinine, ALT, AST, PT, albumin, globulin, CK, CK-MB, and cTnl). The physical examination and the blood pressure were presented within the normal range, while in the electrocardiography the FC was observed as normal with a sinus rhythm, with the exception of one dog that presented a sinus tachycardia (168 bat/min). In the ECG of eight dogs there was increase of duration of P (47 +/- 6.5ms) suggestive to atrial enlargement, not confirmed in the radiography. A supraunlevelling was observed in the ST segment in one dog. In the hematological results, thrombocytopenia (187.4x10(3)+/- 137.2x10(3)) and anemia (5.0x10(6)+/- 1.39x10(6)/ul) were noted. The mean hemoglobin (11 +/- 2.7g/dL), hematocrit (34 +/- 10.5%) were below normal limits. The white series were within normal variation, with the exception of eosinophilia observed in three dogs. Individually, there were two dogs which registered leukocytosis, lymphocytosis and neutrophilia. In the biochemical evaluation there was hyperproteinemia PT=7.2 +/- 0.9g/dL, hypoalbuminemia (2.2 +/- 0.4g/dL), hyperglobulinemia (5.1 +/- 1.0g/dL), increased of CK (196+171 U/L) and there was no alteration on ALT and AST enzymes. The CK-MB isoenzymes and cTnI did not change, except in three dogs. We conclude that dogs naturally infected in the northeastern semiarid present characteristics related to indeterminate chronic form (asymptomatic dogs) and that the identification of the naturally infected dogs with no pathognomonic characteristics of the Chagas disease underscores the importance of this illness in the diagnostic process with the other profiles that show nonspecific or not associated to cardiovascular disease."
"543","laporta","NO","Ferreira, KAM and Ruiz, JC and Dias, FC and Lages-Silva, E and Tosi, LRO and Ramirez, LE and Pedrosa, AL","2010","Genome Survey Sequence Analysis and Identification of Homologs of Major Surface Protease (gp63) Genes in Trypanosoma rangeli","VECTOR-BORNE AND ZOONOTIC DISEASES","10","847","853","10.1089/vbz.2009.0128","In this study, 222 genome survey sequences were generated for Trypanosoma rangeli strain P07 isolated from an opossum (Didelphis albiventris) in Minas Gerais State, Brazil. T. rangeli sequences were compared by BLASTX (Basic Local Alignment Search Tool X) analysis with the assembled contigs of Leishmania braziliensis, Leishmania infantum, Leishmania major, Trypanosoma brucei, and Trypanosoma cruzi. Results revealed that 82% (182/222) of the sequences were associated with predicted proteins described, whereas 18% (40/222) of the sequences did not show significant identity with sequences deposited in databases, suggesting that they may represent T. rangeli-specific sequences. Among the 182 predicted sequences, 179 (80.6%) had the highest similarity with T. cruzi, 2 (0.9%) with T. brucei, and 1 (0.5%) with L. braziliensis. Computer analysis permitted the identification of members of various gene families described for trypanosomatids in the genome of T. rangeli, such as trans-sialidases, mucin-associated surface proteins, and major surface proteases (MSP or gp63). This is the first report identifying sequences of the MSP family in T. rangeli. Multiple sequence alignments showed that the predicted MSP of T. rangeli presented the typical characteristics of metalloproteases, such as the presence of the HEXXH motif, which corresponds to a region previously associated with the catalytic site of the enzyme, and various cysteine and proline residues, which are conserved among MSPs of different trypanosomatid species. Reverse transcriptase-polymerase chain reaction analysis revealed the presence of MSP transcripts in epimastigote forms of T. rangeli."
"544","laporta","YES","Cominetti, MC and Csordas, BG and Cunha, RC and Andreotti, R","2014","Geographical distribution of Trypanosoma cruzi in triatomine vectors in the State of Mato Grosso do Sul, Brazil","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL","47","747","755","10.1590/0037-8682-0234-2014","Introduction: This work presents the initial findings of a molecular epidemiological investigation of Trypanosoma cruzi in triatomine insects in State of Mato Grosso do Sul. Methods: A total of 511 triatomines from different regions of the state were examined. Deoxyribonucleic acid (DNA) was extracted from the intestinal contents of the insects using phenol-chloroform-isoamyl alcohol (25: 24: 1). Polymerase chain reaction (PCR) using primers 121/122 targeting DNA kinetoplast (kDNA) was then performed to identify T. cruzi, and positive samples were subjected to PCR using the primer pair TcSC5D-F/R followed by restriction fragment length polymorphism (RFLP) with the restriction enzymes SphI and HpaI (1 U/reaction), cloning and sequencing. Results: One hundred samples were positive for T. cruzi, and three discrete typing units (DTUs) were identified (TcI, TcII, and TcBat). Triatoma sordida had the highest T. cruzi occurrence (83.3%), and DTUs were found in three samples: 58.3% of the samples were TcI, 33.3% were TcII and 8.3% were TcBat. There was a clear geographical distribution of the DTUs throughout the state, with TcI, TcII and TcBat located in the center, TcI located in the east, and TcII located in the west. Conclusions: This study showed the occurrence of overlapping DTUs in State of Mato Grosso do Sul. The distributions of the DTUs were different, with TcI, TcII and TcBat in the center of the state, TcI predominantly in the east, and TcII in the west. Further studies may reveal a more defined mosaic distribution of DTUs in MS."
"545","laporta","NO","Larsson, MHMA and Pellegrino, A and Oliveira, VMC and Prada, CS and Fedullo, JDL and Larsson, CE","2012","ELECTROCARDIOGRAPHIC PARAMETERS OF CAPTIVE TUFTED CAPUCHINS (CEBUS APELLA) UNDER CHEMICAL IMMOBILIZATION","JOURNAL OF ZOO AND WILDLIFE MEDICINE","43","715","718","10.1638/2010-0061R1.1","This study presents the electrocardiogram findings from 97 captive tufted capuchin monkeys (Cebus apella) at the Sao Paulo Zoo (Sao Paulo, Brazil) while under ketamine anesthesia. The results did not differ greatly from data of domestic carnivores or other studied primate species. The most common rhythm recorded was normal sinus rhythm, followed by normal sinus rhythm with wandering pacemaker. Electrical axis varied from 0 degrees to -150 degrees but was most commonly between +60 degrees and +90 degrees. QRS complexes were predominantly positive in leads DI, DII, DIII, and AVF. These findings allow for the recognition of abnormal rhythms in these primate species and can contribute to future investigations into the cardiovascular diseases routinely diagnosed in primates and humans."
"546","laporta","YES","Rocha, FL and Roque, ALR and de Lima, JS and Cheida, CC and Lemos, FG and de Azevedo, FC and Arrais, RC and Bilac, D and Herrera, HM and Mourao, G and Jansen, AM","2013","Trypanosoma cruzi Infection in Neotropical Wild Carnivores (Mammalia: Carnivora): At the Top of the T-cruzi Transmission Chain","PLOS ONE","8",NA,NA,"10.1371/journal.pone.0067463","Little is known on the role played by Neotropical wild carnivores in the Trypanosoma cruzi transmission cycles. We investigated T. cruzi infection in wild carnivores from three sites in Brazil through parasitological and serological tests. The seven carnivore species examined were infected by T. cruzi, but high parasitemias detectable by hemoculture were found only in two Procyonidae species. Genotyping by Mini-exon gene, PCR-RFLP (1f8/Akw21I) and kDNA genomic targets revealed that the raccoon (Procyon cancrivorus) harbored TcI and the coatis (Nasua nasua) harbored TcI, TcII, TcIII-IV and Trypanosoma rangeli, in single and mixed infections, besides four T. cruzi isolates that displayed odd band patterns in the Mini-exon assay. These findings corroborate the coati can be a bioaccumulator of T. cruzi Discrete Typing Units (DTU) and may act as a transmission hub, a connection point joining sylvatic transmission cycles within terrestrial and arboreal mammals and vectors. Also, the odd band patterns observed in coatis' isolates reinforce that T. cruzi diversity might be much higher than currently acknowledged. Additionally, we assembled our data with T. cruzi infection on Neotropical carnivores' literature records to provide a comprehensive analysis of the infection patterns among distinct carnivore species, especially considering their ecological traits and phylogeny. Altogether, fifteen Neotropical carnivore species were found naturally infected by T. cruzi. Species diet was associated with T. cruzi infection rates, supporting the hypothesis that predator-prey links are important mechanisms for T. cruzi maintenance and dispersion in the wild. Distinct T. cruzi infection patterns across carnivore species and study sites were notable. Musteloidea species consistently exhibit high parasitemias in different studies which indicate their high infectivity potential. Mesocarnivores that feed on both invertebrates and mammals, including the coati, a host that can be bioaccumulator of T. cruzi DTU's, seem to take place at the top of the T. cruzi transmission chain."
"547","laporta","NO","Baptista, RD and D'Avila, DA and Segatto, M and do Valle, IF and Franco, GR and Valadares, HMS and Gontijo, ED and Galvao, LMD and Pena, SDJ and Chiari, E and Machado, CR and Macedo, AM","2014","Evidence of substantial recombination among Trypanosoma cruzi II strains from Minas Gerais","INFECTION GENETICS AND EVOLUTION","22","183","191","10.1016/j.meegid.2013.11.021","Due to the scarcity of evidence of sexuality in Trypanosoma cruzi, the causative agent of Chagas disease, it has been general accepted that the parasite reproduction is essentially clonal with infrequent genetic recombination. This assumption is mainly supported by indirect evidence, such as Hardy-Weinberg imbalances, linkage disequilibrium and a strong correlation between independent sets of genetic markers of T. cruzi populations. However, because the analyzed populations are usually isolated from different geographic regions, the possibility of population substructuring as generating these genetic marker imbalances cannot be eliminated. To investigate this possibility, we firstly compared the allele frequencies and haplotype networks using seven different polymorphic loci (two from mitochondrial and five from different nuclear chromosomes) in two groups of TcII strains: one including isolates obtained from different regions in Latin America and the other including isolates obtained only from patients of the Minas Gerais State in Brazil. Our hypothesis was that if the population structure is essentially clonal, Hardy-Weinberg disequilibrium and a sharp association between the clusters generated by analyzing independent markers should be observed in both strain groups, independent of the geographic origin of the samples. The results demonstrated that the number of microsatellite loci in linkage disequilibrium decreased from 4 to 1 when only strains from Minas Gerais were analyzed. Moreover, we did not observed any correlation between the clusters when analyzing the nuclear and mitochondrial loci, suggesting independent inheritance of these markers among the Minas Gerais strains. Besides, using a second subset of five physically linked microsatellite loci and the Minas Gerais strains, we could also demonstrate evidence of homologous recombination roughly proportional to the relative distance among them. Taken together, our results do not support a clonal population structure for T. cruzi, particularly in TcII, which coexists in the same geographical area, suggesting that genetic exchanges among these strains may occur more frequently than initially expected. (C) 2013 Elsevier B.V. All rights reserved."
"548","laporta","NO","Bisio, M and Altcheh, J and Lattner, J and Moscatelli, G and Fink, V and Burgos, JM and Bournissen, FG and Schijman, AG and Freilij, H","2013","Benznidazole Treatment of Chagasic Encephalitis in Pregnant Woman with AIDS","EMERGING INFECTIOUS DISEASES","19","1490","1492","10.3201/eid1909.130667","We report a case of chagasic meningoencephalitis reactivation in a pregnant woman co-infected with Trypanosoma cruzi and HIV that was successfully managed with benznidazole and highly active antiretroviral therapy. Early diagnosis enabled rapid specific treatment that improved the health of the patient and her baby."
"549","laporta","NO","Martins, MAP and Ribeiro, DD and Nobre, VA and Pereira, FR and Cesar, CC and Rocha, MOC and Ribeiro, ALP","2013","Agreement among four drug information sources for the occurrence of warfarin drug interactions in Brazilian heart disease patients with a high prevalence of Trypanosoma cruzi infection","EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY","69","919","928","10.1007/s00228-012-1411-6","The aim of this study was to assess the agreement of four renowned interaction lists on potentially severe warfarin drug interactions (DI) in outpatients at a university hospital in Brazil, specifically in subgroups of Trypanosoma cruzi-infected and non-infected patients and those with previous bleeding episodes. This was a cross-sectional study in which adult outpatients with heart disease and indications for chronic warfarin use were enrolled. The occurrence of potentially severe warfarin DI was evaluated based on the lists provided by three compendia, i.e., Drug Interaction Facts (DIF), Drug Interactions: Analysis and Management (DIAM) and DRUG-REAX, and by the World Health Organization (WHO) Model Formulary. A kappa coefficient was used to calculate the agreement among the sources. A total of 280 patients were studied. Most patients were female (54.6 %) with an average age of 56.8 (standard deviation 13.1) years. The agreement among the four sources was fair (Fleiss' kappa coefficient = 0.295). T. cruzi-infected individuals were less likely to have severe warfarin DI than non-infected patients (p < 0.05 for DIAM, DRUG-REAX and the WHO Model Formulary). Potentially severe DI were more frequent in patients with previous bleeding episodes, based on the DIF compendia (p = 0.007). This evaluation of warfarin DI revealed that the disagreement between compendia is also observed in clinical practice. T. cruzi infection is associated with a lower prevalence of potentially severe warfarin DI, but with a wider variation in its detection. Our results suggest a wide spectrum of discrepancies in detecting heart disease patients at higher risk for severe warfarin DI and a possible heterogeneity in clinical guidance."
"550","laporta","NO","Arauujo, AF and de Oliveira, G and Vasconcelos, JF and Ersching, J and Dominguez, MR and Vasconcelos, JR and Machado, AV and Gazzinelli, RT and Bruna-Romero, O and Soares, MB and Rodrigues, MM","2014","Genetic Vaccination against Experimental Infection with Myotropic Parasite Strains of Trypanosoma cruzi","MEDIATORS OF INFLAMMATION","2014",NA,NA,"10.1155/2014/605023","In earlier studies, we reported that a heterologous prime-boost regimen using recombinant plasmid DNA followed by replication-defective adenovirus vector, both containing Trypanosoma cruzi genes encoding trans-sialidase (TS) and amastigote surface protein (ASP) 2, provided protective immunity against experimental infection with a reticulotropic strain of this human protozoan parasite. Herein, we tested the outcome of genetic vaccination of F1 (CB10XBALB/c) mice challenged with myotropic parasite strains (Brazil and Colombian). Initially, we determined that the coadministration during priming of a DNA plasmid containing the murine IL-12 gene improved the immune response and was essential for protective immunity elicited by the heterologous prime-boost regimen in susceptible male mice against acute lethal infections with these parasites. The prophylactic or therapeutic vaccination of resistant female mice led to a drastic reduction in the number of inflammatory infiltrates in cardiac and skeletal muscles during the chronic phase of infection with either strain. Analysis of the electrocardiographic parameters showed that prophylactic vaccination reduced the frequencies of sinus arrhythmia and atrioventricular block. Our results confirmed that prophylactic vaccination using the TS and ASP-2 genes benefits the host against acute and chronic pathologies caused by T. cruzi and should be further evaluated for the development of a veterinary or human vaccine against Chagas disease."
"551","laporta","NO","Rosenberg, CS and Martin, DL and Tarleton, RL","2010","CD8(+) T Cells Specific for Immunodominant Trans-Sialidase Epitopes Contribute to Control of Trypanosoma cruzi Infection but Are Not Required for Resistance","JOURNAL OF IMMUNOLOGY","185","560","568","10.4049/jimmunol.1000432","CD8(+) T cells are essential for controlling Trypanosoma cruzi infection. During Brazil strain infection, C57BL/6 mice expand parasite-specific CD8(+) T cells recognizing the dominant TSKB20 (ANYKFTLV) and subdominant TSKB74 (VNYDFTLV) trans-sialidase gene (TS)-encoded epitopes with up to 40% of all CD8(+) T cells specific for these epitopes. Although this is one of the largest immunodominant T cell responses described for any infection, most mice fail to clear T. cruzi and subsequently develop chronic disease. To determine if immunodominant TS-specific CD8(+) T cells are necessary for resistance to infection, we epitope-tolerized mice by high-dose i.v. injections of TSKB20 or TSKB74 peptides. Tolerance induction led to deletion of TS-specific CD8(+) T cells but did not prevent the expansion of other effector CD8(+) T cell populations. Mice tolerized against either TSKB20 or TSKB74, or both epitopes simultaneously, exhibited transient increases in parasite loads, although ultimately they controlled the acute infection. Furthermore, BALB/c mice tolerized against the TSKD14 peptide effectively controlled acute T. cruzi infection. These data are consistent with the hypothesis that development of high-frequency CD8(+) T cell populations focused on TS-derived epitopes contributes to optimal control of acute infection but is not required for the development of immune resistance. The Journal of Immunology, 2010, 185: 560-568."
"552","laporta","NO","Fonseca, FM and Queiroz, DMD and Rocha, AMC and Prata, A and Crema, E and Rodrigues, V and Ramirez, LE and de Oliveira, AG","2012","Seroprevalence of Helicobacter pylori infection in chagasic and non-chagasic patients from the same geographical region of Brazil","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL","45","194","198","10.1590/S0037-86822012000200011","Introduction: In this study, we evaluated the seroprevalence of Helicobacter pylori infection among chagasic and non-chagasic subjects as well as among the subgroups of chagasic patients with the indeterminate, cardiac, digestive, and cardiodigestive clinical forms. Methods: The evaluated subjects were from the Triangulo Mineiro region, Minas Gerais, Brazil. Chagasic patients showed positive reactions to the conventional serological tests used and were classified according to the clinical form of their disease. Immunoglobulin G antibodies specific to H. pylori were measured using a commercial enzyme-linked immunosorbent assay kit. Results: The overall H. pylori prevalence was 77.1% (239/310) in chagasic and 69.1% (168/243) in non-chagasic patients. This difference was statistically significant even after adjustment for age and sex (odds ratio = 1.57; 95% confidence interval, 1.02-2.42; p = 0.04) in multivariate analysis. The prevalence of infection increased with age in the non-chagasic group (p = 0.007, chi(2) for trend), but not in the chagasic group (p = 0.15, chi(2) for trend). H. pylori infection was not associated with digestive or other clinical forms of Chagas disease (p = 0.27). Conclusions: Our findings demonstrate that chagasic patients have a higher prevalence of H. pylori compared to non-chagasic subjects; a similar prevalence was found among the diverse clinical forms of the disease. The factors contributing to the frequent co-infection with H. pylori and Trypanosoma cruzi as well as its effects on the clinical outcome deserve further study."
"553","laporta","NO","Bhattacharyya, T and Falconar, AK and Luquetti, AO and Costales, JA and Grijalva, MJ and Lewis, MD and Messenger, LA and Tran, TT and Ramirez, JD and Guhl, F and Carrasco, HJ and Diosque, P and Garcia, L and Litvinov, SV and Miles, MA","2014","Development of Peptide-Based Lineage-Specific Serology for Chronic Chagas Disease: Geographical and Clinical Distribution of Epitope Recognition","PLOS NEGLECTED TROPICAL DISEASES","8",NA,NA,"10.1371/journal.pntd.0002892","Background: Chagas disease, caused by infection with the protozoan Trypanosoma cruzi, remains a serious public health issue in Latin America. Genetically diverse, the species is sub-divided into six lineages, known as TcI-TcVI, which have disparate geographical and ecological distributions. TcII, TcV, and TcVI are associated with severe human disease in the Southern Cone countries, whereas TcI is associated with cardiomyopathy north of the Amazon. T. cruzi persists as a chronic infection, with cardiac and/or gastrointestinal symptoms developing years or decades after initial infection. Identifying an individual's history of T. cruzi lineage infection directly by genotyping of the parasite is complicated by the low parasitaemia and sequestration in the host tissues. Methodology/Principal Findings: We have applied here serology against lineage-specific epitopes of the T. cruzi surface antigen TSSA, as an indirect approach to allow identification of infecting lineage. Chagasic sera from chronic patients from a range of endemic countries were tested by ELISA against synthetic peptides representing lineage-specific TSSA epitopes bound to avidin-coated ELISA plates via a biotin labelled polyethylene glycol-glycine spacer to increase rotation and ensure each amino acid side chain could freely interact with their antibodies. 79/113 (70%) of samples from Brazil, Bolivia, and Argentina recognised the TSSA epitope common to lineages TcII/TcV/TcVI. Comparison with clinical information showed that a higher proportion of Brazilian TSSApep-II/V/VI responders had ECG abnormalities than non-responders (38% vs 17%; p<0.0001). Among northern chagasic sera 4/20 (20%) from Ecuador reacted with this peptide; 1/12 Venezuelan and 1/34 Colombian samples reacted with TSSApep-IV. In addition, a proposed TcI-specific epitope, described elsewhere, was demonstrated here to be highly conserved across lineages and therefore not applicable to lineage-specific serology. Conclusions/Significance: These results demonstrate the considerable potential for synthetic peptide serology to investigate the infection history of individuals, geographical and clinical associations of T. cruzi lineages."
"554","laporta","NO","da Camara, ACJ and Lages-Silva, E and Sampaio, GHF and D'Avila, DA and Chiari, E and Galvao, LMD","2013","Homogeneity of Trypanosoma cruzi I, II, and III populations and the overlap of wild and domestic transmission cycles by Triatoma brasiliensis in northeastern Brazil","PARASITOLOGY RESEARCH","112","1543","1550","10.1007/s00436-013-3301-y","The genetic variability of 24 Trypanosoma cruzi isolates from humans (11) and triatomines (13) in northeastern Brazil was analyzed by random amplified polymorphic DNA (RAPD) and compared with taxonomic groups, host, and geographical origin of the parasite. TcI (12.5 %), TcII (45.8 %), and TcIII (41.6 %) showed a similarity coefficient (SC) of 0.74 using the mean of three primers and 0.80, 0.75, and 0.66 for lambda gt11-F, M13-40F, and L15996 primers, respectively. The samples were clustered according to their phylogenetic origin in two polymorphic and divergent branches: one associated with TcI and the other with two subbranches corresponding to TcII and TcIII. TcI was only identified in humans and correlated with the Id homogenous group (0.80 SC). TcII from humans and Triatoma brasiliensis showed 0.86 SC and was clustered according monoclonal or polyclonal populations with similar RAPD profiles detected among the vector and/or humans in different municipalities. TcIII was isolated exclusively in sylvatic cycles from T. brasiliensis and Panstrongylus lutzi and showed low variability (0.84 SC) and high homology mainly among isolated populations at the same locality. The homology of T. cruzi among different hosts and locations suggests the distribution of principal clones circulating and reveals an overlapping between the sylvatic and domestic cycles in this area, where T. brasiliensis infected with TcII acts as link in both environments. This species is important to maintain TcII and TcIII in wild cycles and deserves particular attention due an emergent risk of these populations being introduced into the domestic cycle; moreover, its clinical and epidemiological implications remain unknown."
"555","laporta","NO","Medeiros, MD and Araujo-Jorge, TC and Batista, WS and da Silva, TMOA and de Souza, AP","2010","Trypanosoma cruzi infection: do distinct populations cause intestinal motility alteration?","PARASITOLOGY RESEARCH","107","239","242","10.1007/s00436-010-1871-5","Chagas disease, caused by Trypanosoma cruzi, is an important public health problem in Latin America. Disturbances in gastrointestinal motility are observed in 15-20% of patients at the chronic phase. We previously observed a decrease in intestinal motility in mice infected with Y strain from T. cruzi. Thus, we decided to test if infection with other T. cruzi strains also caused the intestinal disturbance. Male adult Swiss mice were infected intraperitoneally with CL-Brener clone (CL-B), Brazil strain (Br), or Dm28 clone (Dm) of T. cruzi. All infected mice presented a low cumulative mortality (CL-B, 17%; Br, 8%; Dm, 25%) at 35 days post infection (dpi) and their typical parasitemia curves. Br and Dm groups exhibited a maximal reduction of intestinal motility at 35 dpi (176.8 +/- 51.3 and 198.3 +/- 52.6 min, respectively), when compared with non-infected mice (90.2 +/- 19.5 min). However, CL mice presented the peak of delayed intestinal transit at 12 dpi (191.0 +/- 33.3 min), when compared with non-infected mice (105.6 +/- 26.4 min), very close to the 15 dpi for the intense alteration (310.2 +/- 67.4 min) observed with the Y strain. We clearly demonstrate a reduction in intestinal motility in mice infected with different groups of T. cruzi during the acute phase of the infection. Since Br, Dm, and CL strains presented low mortality rates in adult Swiss mice, a prospective study concerning the chronic intestinal alteration is encouraged, particularly for studies of alternative therapies."
